"LST_DATE","LST_TIME","T_MAX","P_CALC"
20170119,1000,8.4,0
20170119,1100,11.1,0
20170119,1200,13,0
20170119,1300,14.6,0
20170119,1400,16,0
20170119,1500,16.5,0
20170119,1600,16.6,0
20170119,1700,16.1,0
20170119,1800,12.6,0
20170119,1900,10.8,0
20170119,2000,9.2,0
20170119,2100,7.9,0
20170119,2200,6.6,0
20170119,2300,5.9,0
20170120,0,6.1,0
20170120,100,6.4,0
20170120,200,6.4,0
20170120,300,6.6,0
20170120,400,6.7,0
20170120,500,6.7,0
20170120,600,7.2,0
20170120,700,7.7,0
20170120,800,8.4,0.7
20170120,900,8.6,2
20170120,1000,9.4,1.4
20170120,1100,9.8,0
20170120,1200,10.6,0.2
20170120,1300,11.5,0
20170120,1400,12.4,0
20170120,1500,13.2,0
20170120,1600,13.8,0
20170120,1700,13.7,0
20170120,1800,13.3,0
20170120,1900,12.8,0
20170120,2000,12,0
20170120,2100,12.1,0
20170120,2200,12.2,0
20170120,2300,12.2,0
20170121,0,11.9,0
20170121,100,11.7,0
20170121,200,11.6,0
20170121,300,11.4,0
20170121,400,11.3,0
20170121,500,11.1,0
20170121,600,10.9,0
20170121,700,10.9,0
20170121,800,10.8,0
20170121,900,11,0
20170121,1000,11.1,0
20170121,1100,11.3,0
20170121,1200,11.4,0
20170121,1300,11.6,0
20170121,1400,11.8,0
20170121,1500,11.9,0
20170121,1600,11.8,0
20170121,1700,11.7,2.4
20170121,1800,11.6,1.8
20170121,1900,11.5,3.1
20170121,2000,11.2,0.6
20170121,2100,11.2,0.2
20170121,2200,11.4,0
20170121,2300,11.5,0
20170122,0,11.5,0
20170122,100,11.5,0
20170122,200,11.5,0
20170122,300,11.4,0
20170122,400,11.2,0
20170122,500,11.1,0
20170122,600,11.1,0
20170122,700,11,0
20170122,800,11,0
20170122,900,11.2,0
20170122,1000,11.4,0
20170122,1100,11.8,0
20170122,1200,12.3,0
20170122,1300,12.8,0
20170122,1400,13,0
20170122,1500,12.7,0
20170122,1600,12.4,0
20170122,1700,12.3,0
20170122,1800,12.1,0
20170122,1900,11.7,0
20170122,2000,11.5,0
20170122,2100,11.4,0.8
20170122,2200,11.4,0.7
20170122,2300,11.4,1.1
20170123,0,11.3,0.3
20170123,100,10.9,0.3
20170123,200,10.7,0
20170123,300,10.4,0.2
20170123,400,10.4,2.4
20170123,500,10.5,11.7
20170123,600,10.3,2.5
20170123,700,10.6,0
20170123,800,11.2,0
20170123,900,11.4,0
20170123,1000,11.8,0
20170123,1100,12.7,0
20170123,1200,13.9,0
20170123,1300,14.3,0
20170123,1400,15.4,0
20170123,1500,13.9,0
20170123,1600,14,0
20170123,1700,13.9,0
20170123,1800,11.8,0
20170123,1900,9.1,0
20170123,2000,8.5,0
20170123,2100,7.3,0
20170123,2200,6.9,0
20170123,2300,6.2,0
20170124,0,5.6,0
20170124,100,5.4,0
20170124,200,5.4,0
20170124,300,5.3,0
20170124,400,5.4,0
20170124,500,5.4,0
20170124,600,5.5,0
20170124,700,5.4,0
20170124,800,4.8,0
20170124,900,7.5,0
20170124,1000,11.4,0
20170124,1100,12.9,0
20170124,1200,14.3,0
20170124,1300,14.8,0
20170124,1400,15.6,0
20170124,1500,16.1,0
20170124,1600,15.9,0
20170124,1700,15.2,0
20170124,1800,13.8,0
20170124,1900,12.3,0
20170124,2000,10.5,0
20170124,2100,9.8,0
20170124,2200,9.7,0
20170124,2300,8.4,0
20170125,0,6.2,0
20170125,100,4.4,0
20170125,200,3.2,0
20170125,300,2.5,0
20170125,400,2.4,0
20170125,500,1.5,0
20170125,600,1.3,0
20170125,700,1.6,0
20170125,800,1.1,0
20170125,900,6.3,0
20170125,1000,11,0
20170125,1100,14.5,0
20170125,1200,17.5,0
20170125,1300,18.9,0
20170125,1400,20.3,0
20170125,1500,21.2,0
20170125,1600,22.2,0
20170125,1700,22,0
20170125,1800,19.9,0
20170125,1900,16.9,0
20170125,2000,16,0
20170125,2100,15.9,0
20170125,2200,15.5,0
20170125,2300,14.8,0
20170126,0,14,0
20170126,100,14.7,0
20170126,200,15.2,0
20170126,300,15.4,0
20170126,400,15.9,0
20170126,500,15.6,0
20170126,600,14.8,0
20170126,700,13.4,0.3
20170126,800,15.3,0
20170126,900,15.8,0
20170126,1000,16.5,0
20170126,1100,18.7,0
20170126,1200,20.1,0
20170126,1300,20.4,0
20170126,1400,19.5,0
20170126,1500,18.3,0
20170126,1600,16.9,0
20170126,1700,15.6,0
20170126,1800,14,0
20170126,1900,12.1,0
20170126,2000,11,0
20170126,2100,9.4,0
20170126,2200,8.3,0
20170126,2300,6.6,0
20170127,0,5.6,0
20170127,100,4.9,0
20170127,200,4.2,0
20170127,300,3.7,0
20170127,400,2.3,0
20170127,500,2.7,0
20170127,600,2.8,0
20170127,700,2.7,0
20170127,800,2.3,0
20170127,900,4.5,0
20170127,1000,6.5,0
20170127,1100,7.4,0
20170127,1200,8.8,0
20170127,1300,9.1,0
20170127,1400,9.4,0
20170127,1500,9.3,0
20170127,1600,9.3,0
20170127,1700,8.6,0
20170127,1800,7.2,0
20170127,1900,5.7,0
20170127,2000,4.4,0
20170127,2100,3,0
20170127,2200,2.3,0
20170127,2300,2,0
20170128,0,1.9,0
20170128,100,1,0
20170128,200,0.8,0
20170128,300,-0.1,0
20170128,400,-2.1,0
20170128,500,-2.2,0
20170128,600,-2.5,0
20170128,700,-3,0
20170128,800,-2.5,0
20170128,900,1.2,0
20170128,1000,4.6,0
20170128,1100,6.7,0
20170128,1200,7.8,0
20170128,1300,9.3,0
20170128,1400,9.7,0
20170128,1500,10,0
20170128,1600,9.9,0
20170128,1700,9.7,0
20170128,1800,8.9,0
20170128,1900,7.1,0
20170128,2000,5.6,0
20170128,2100,4.5,0
20170128,2200,4.4,0
20170128,2300,3.1,0
20170129,0,2.5,0
20170129,100,2,0
20170129,200,1.8,0
20170129,300,0.4,0
20170129,400,-0.7,0
20170129,500,-1.1,0
20170129,600,-1.6,0
20170129,700,-1.6,0
20170129,800,-1.4,0
20170129,900,2.9,0
20170129,1000,5.8,0
20170129,1100,8.2,0
20170129,1200,10,0
20170129,1300,11.1,0
20170129,1400,10.3,0
20170129,1500,10.7,0
20170129,1600,10.5,0
20170129,1700,10.5,0
20170129,1800,9.9,0
20170129,1900,7.9,0
20170129,2000,7.3,0
20170129,2100,6.9,0
20170129,2200,5.9,0
20170129,2300,6.3,0
20170130,0,6.1,0
20170130,100,5.4,0
20170130,200,5.3,0
20170130,300,3.5,0
20170130,400,2.2,0
20170130,500,0.3,0
20170130,600,-1.7,0
20170130,700,-0.2,0
20170130,800,-0.1,0
20170130,900,2.2,0
20170130,1000,2.7,0
20170130,1100,3.4,0
20170130,1200,4.2,0
20170130,1300,5,0
20170130,1400,6,0
20170130,1500,6.4,0
20170130,1600,6.8,0
20170130,1700,6.5,0
20170130,1800,6,0
20170130,1900,4.1,0
20170130,2000,1.4,0
20170130,2100,0.6,0
20170130,2200,-1.9,0
20170130,2300,-2.2,0
20170131,0,-2.5,0
20170131,100,-2.3,0
20170131,200,-2.8,0
20170131,300,-1.8,0
20170131,400,-2.1,0
20170131,500,-1.9,0
20170131,600,0,0
20170131,700,1.4,0
20170131,800,2.5,0
20170131,900,4.8,0
20170131,1000,9.5,0
20170131,1100,13.6,0
20170131,1200,15.5,0
20170131,1300,17.7,0
20170131,1400,17.8,0
20170131,1500,17.6,0
20170131,1600,18.4,0
20170131,1700,18.6,0
20170131,1800,18,0
20170131,1900,16.5,0
20170131,2000,15.4,0
20170131,2100,15.1,0
20170131,2200,13.9,0
20170131,2300,12.8,0
20170201,0,9.9,0
20170201,100,8.5,0
20170201,200,6.1,0
20170201,300,5.6,0
20170201,400,4.4,0
20170201,500,5.1,0
20170201,600,4.5,0
20170201,700,3.7,0
20170201,800,4.1,0
20170201,900,7.2,0
20170201,1000,10.5,0
20170201,1100,11.9,0
20170201,1200,14,0
20170201,1300,15.7,0
20170201,1400,17.6,0
20170201,1500,19.3,0
20170201,1600,20.4,0
20170201,1700,20,0
20170201,1800,18.5,0
20170201,1900,14,0
20170201,2000,12.3,0
20170201,2100,11.8,0
20170201,2200,10.8,0
20170201,2300,9.5,0
20170202,0,7,0
20170202,100,6.5,0
20170202,200,5.7,0
20170202,300,4.6,0
20170202,400,4.4,0
20170202,500,4,0
20170202,600,3.3,0
20170202,700,2.7,0
20170202,800,4.8,0
20170202,900,9.4,0
20170202,1000,12.7,0
20170202,1100,14.3,0
20170202,1200,14.5,0
20170202,1300,15,0
20170202,1400,14.4,0
20170202,1500,14.7,0
20170202,1600,15.4,0
20170202,1700,14.5,0
20170202,1800,13.4,0
20170202,1900,11.2,0
20170202,2000,10.8,0
20170202,2100,10.4,0
20170202,2200,10.7,0
20170202,2300,10.5,0
20170203,0,10,0
20170203,100,9.2,0
20170203,200,8.8,0
20170203,300,7.4,0.4
20170203,400,4.8,0.4
20170203,500,4.1,0
20170203,600,3.9,0
20170203,700,3.7,0
20170203,800,3.4,0
20170203,900,3.5,0
20170203,1000,3.6,0
20170203,1100,3.4,0
20170203,1200,3.8,0
20170203,1300,4.3,0
20170203,1400,4.9,0
20170203,1500,5,0
20170203,1600,5,0
20170203,1700,4.8,0
20170203,1800,4.9,0
20170203,1900,4.6,0
20170203,2000,4.3,0
20170203,2100,4.1,0
20170203,2200,3,0
20170203,2300,1.9,0
20170204,0,0.6,0
20170204,100,-0.2,0
20170204,200,-0.8,0
20170204,300,-1.5,0
20170204,400,-2,0
20170204,500,-2.6,0
20170204,600,-3.2,0
20170204,700,-4,0
20170204,800,-3.8,0
20170204,900,-2.1,0
20170204,1000,-0.1,0
20170204,1100,1.7,0
20170204,1200,2.9,0
20170204,1300,4,0
20170204,1400,5,0
20170204,1500,5.6,0
20170204,1600,6.1,0
20170204,1700,5.8,0
20170204,1800,4.8,0
20170204,1900,2.3,0
20170204,2000,-0.4,0
20170204,2100,-1.8,0
20170204,2200,-0.9,0
20170204,2300,-2.3,0
20170205,0,-3.3,0
20170205,100,-3.7,0
20170205,200,-3.9,0
20170205,300,-2.3,0
20170205,400,-0.9,0
20170205,500,-0.5,0
20170205,600,-0.3,0
20170205,700,-0.3,0.5
20170205,800,-0.1,0
20170205,900,1.5,0
20170205,1000,3.9,0
20170205,1100,7.4,0
20170205,1200,9.7,0
20170205,1300,11.5,0
20170205,1400,13.1,0
20170205,1500,14.2,0
20170205,1600,14.1,0
20170205,1700,14.1,0
20170205,1800,13.2,0
